trans_code,acct_num,trans_dt,debit_amt,credit_amt,balance,description,teller_id
LEG6599316,ACC-0000-4719,20240116,-7487.73,0.0,53114.15,Transfer Out,T0118
LEG2777328,ACC00006343,02-08-2024,10652.13,0.0,93347.12,Direct Deposit,T0242
LEG4558144,ACC-0000-8055,09-19-2023,0.0,19373.84,94867.24,Bill Payment,T0105
LEG1553392,00002302,24-02-2024,2578.37,0.0,33963.64,Refund,T0224
LEG0172996,ACC00004119,03/05/24,6145.35,0.0,57814.63,Direct Deposit,T0224
LEG1127244,ACC00009500,20-10-2023,14355.02,0.0,9450.05,Online Purchase,T0231
LEG7200680,ACC 00002141,20240109,0.0,24954.97,79705.08,Direct Deposit,T0122
LEG4357027,00003906,03-24-2024,20661.45,0.0,94420.68,Card Purchase,T0228
LEG1986579,00004612,04-11-2023,17529.07,0.0,73827.06,Bill Payment,T0143
LEG2379565,ACC-0000-4731,11/24/23,0.0,10682.26,39967.8,Bill Payment,T0140
LEG5495372,ACC 00008895,29-10-2023,0.0,20176.28,35931.55,Transfer In,T0108
LEG5715647,ACC-0000-7148,20231215,0.0,20851.34,67872.72,Monthly Fee,T0213
LEG3471380,ACC00003773,20240220,0.0,22493.47,7989.53,Transfer Out,T0114
LEG3995719,ACC 00003011,11/07/23,24950.8,0.0,74277.75,Interest Payment,T0111
LEG1828386,ACC-0000-2742,03-31-2024,0.0,16651.54,19266.13,Wire Transfer,T0238
LEG5890317,ACC-0000-8385,12/05/23,1211.66,0.0,87935.7,Online Purchase,T0152
LEG5781530,ACC-0000-2426,27-10-2023,7514.77,0.0,65685.14,Online Purchase,T0113
LEG2082187,ACC 00005570,04/05/24,8900.25,0.0,31581.04,Refund,T0118
LEG7530341,ACC 00005402,20231109,0.0,15582.67,47248.87,Interest Payment,T0154
LEG1252670,ACC-0000-9500,02/13/24,0.0,7494.05,45087.4,Check Deposit,T0124
LEG7859829,ACC 00008286,02/24/24,720.19,0.0,52261.53,Transfer In,T0110
LEG4762144,ACC 00009578,01-06-2024,18594.09,0.0,6405.94,Monthly Fee,T0242
LEG8507926,ACC 00005579,03/29/24,18177.79,0.0,78189.75,Online Purchase,T0102
LEG5658043,ACC-0000-6131,23-10-2023,0.0,8566.73,61827.05,Monthly Fee,T0234
LEG3662436,ACC00003915,20231104,7218.39,0.0,35059.13,Wire Transfer,T0225
LEG7726184,ACC 00008301,20231003,0.0,15927.4,25568.9,Bill Payment,T0108
LEG3555743,ACC00004933,08-02-2024,7507.43,0.0,96637.23,Card Purchase,T0116
LEG6787433,ACC-0000-4477,20240111,4433.02,0.0,84223.22,Wire Transfer,T0214
LEG4806670,ACC00007337,10/03/23,19979.78,0.0,76840.75,Transfer In,T0207
LEG5398708,00001083,20240310,14720.0,0.0,36187.97,Check Deposit,T0127
LEG6580737,00007747,13-01-2024,0.0,9768.39,14288.88,Bill Payment,T0129
LEG7092349,ACC00006359,20231013,0.0,4215.43,95725.9,Online Purchase,T0133
LEG5039037,00007976,12/26/23,0.0,19973.97,77563.65,Check Deposit,T0213
LEG8607720,ACC-0000-4460,02/11/24,18624.87,0.0,5398.09,Card Purchase,T0154
LEG0549571,00010991,12-14-2023,0.0,11716.98,67024.78,Transfer Out,T0173
LEG3889536,00001575,20231203,0.0,12427.67,47699.6,Transfer Out,T0167
LEG2306496,ACC-0000-7867,01-12-2023,22685.24,0.0,91700.98,ATM Withdrawal,T0188
LEG8295353,ACC00007140,11/11/23,13010.55,0.0,57392.07,Refund,T0159
LEG5807118,00002836,01/26/24,0.0,21900.11,98489.75,Check Deposit,T0166
LEG2588417,ACC 00006910,02-11-2024,0.0,3115.13,15306.36,ATM Withdrawal,T0122
LEG5226824,ACC-0001-0386,02/29/24,0.0,19854.52,78571.02,Interest Payment,T0138
LEG6478391,ACC-0000-7698,11-23-2023,15198.3,0.0,9402.45,Wire Transfer,T0144
LEG4286437,00006691,07-01-2024,0.0,16242.95,43558.47,Refund,T0177
LEG2844793,ACC-0000-8826,02/10/24,2617.0,0.0,54658.53,Wire Transfer,T0214
LEG4165290,00005195,08-10-2023,21897.95,0.0,67214.82,Online Purchase,
LEG2824723,00004664,10/14/23,18955.99,0.0,77585.54,ATM Withdrawal,T0225
LEG0512488,00009505,09/28/23,0.0,1632.57,55274.1,Check Deposit,T0201
LEG0828203,ACC-0000-8036,12-04-2023,24594.52,0.0,65661.8,Transfer In,T0116
LEG9855188,00005003,03/04/24,17764.17,0.0,20297.37,ATM Withdrawal,T0210
LEG4431445,ACC-0000-6746,10-26-2023,0.0,3471.51,17159.69,Transfer In,T0194
LEG4168801,ACC00004734,11-28-2023,15416.37,0.0,80706.64,Bill Payment,T0106
LEG0216148,ACC-0001-0940,20231206,0.0,16669.19,-99966.08,Direct Deposit,T0175
LEG0663866,ACC 00006912,13-03-2024,0.0,11048.39,-60080.66,Monthly Fee,T0192
LEG8086455,ACC 00001337,20240219,23863.56,0.0,91289.83,Refund,T0173
LEG3098104,ACC-0000-2656,21-03-2024,4797.38,0.0,90085.87,Transfer In,T0220
LEG9000956,00001840,01/11/24,0.0,22933.31,27055.06,Interest Payment,
LEG2295413,ACC00010302,10-02-2024,10096.94,0.0,32048.67,ATM Withdrawal,T0171
LEG8919939,ACC-0000-2910,01/23/24,3653.61,0.0,53961.27,Refund,T0206
LEG2477958,ACC 00003243,11/18/23,22449.73,0.0,91794.33,Transfer Out,T0208
LEG9900136,00009590,25-11-2023,2974.06,0.0,25204.86,Online Purchase,T0232
LEG7604601,00010335,12/09/23,609.01,0.0,46599.53,Card Purchase,T0211
LEG0573639,ACC 00001368,28-11-2023,0.0,24594.89,48415.32,Interest Payment,T0189
LEG8384433,00008521,04-05-2024,15078.5,0.0,46175.32,Check Deposit,T0200
LEG4970457,00001972,10-10-2023,19944.3,0.0,38138.25,Monthly Fee,
LEG6645616,00004720,20231122,5341.77,0.0,47693.95,Monthly Fee,T0162
LEG7475628,ACC-0000-9803,11-02-2024,0.0,16042.2,4590.47,Direct Deposit,T0232
LEG3382806,00004457,02-13-2024,10628.12,0.0,63144.08,Refund,T0203
LEG2226635,ACC 00004794,08-10-2023,0.0,12023.19,15012.84,Card Purchase,T0191
LEG5419988,ACC00008737,12/22/23,0.0,16480.32,34257.37,Online Purchase,T0150
LEG3294383,ACC 00004335,12-04-2023,2629.79,0.0,19880.36,Transfer In,T0203
LEG2625824,00005891,02/27/24,0.0,1242.52,81463.49,Monthly Fee,T0194
LEG9281786,00005372,05-03-2024,7986.8,0.0,42492.78,Bill Payment,T0145
LEG2958302,ACC-0000-3017,02/07/24,5111.71,0.0,19112.17,Monthly Fee,T0205
LEG3479564,ACC00010575,20231225,0.0,16546.4,70248.57,Card Purchase,T0180
LEG0581940,00001378,20240228,24429.61,0.0,74564.11,Monthly Fee,T0234
LEG3315898,ACC-0000-5929,09/20/23,0.0,2013.22,6616.12,Refund,T0249
LEG1085058,ACC00010626,11-11-2023,9629.74,0.0,51364.88,Transfer In,T0108
LEG8856980,ACC-0000-9761,20231210,0.0,18319.78,96441.98,Card Purchase,T0143
LEG8367433,ACC00009302,09/19/23,0.0,22926.49,38370.94,ATM Withdrawal,T0130
LEG2379727,ACC00007456,18-03-2024,3763.69,0.0,86198.05,Monthly Fee,T0245
LEG9838664,ACC 00009589,12-29-2023,16494.03,0.0,56904.96,Bill Payment,T0123
LEG3972421,ACC00003740,13-11-2023,0.0,22072.94,45193.92,Bill Payment,T0212
LEG7302053,00005225,12-05-2023,14326.79,0.0,22748.45,Check Deposit,T0175
LEG8465429,ACC 00005686,01/22/24,8013.04,0.0,93738.23,Online Purchase,T0182
LEG5028313,ACC00010931,07-02-2024,0.0,15387.89,35830.68,Bill Payment,T0169
LEG8279098,00006413,03/06/24,12584.17,0.0,9168.62,ATM Withdrawal,T0173
LEG6237025,ACC 00008024,12-05-2023,489.48,0.0,48202.29,Monthly Fee,T0143
LEG1659595,ACC00005561,01-23-2024,0.0,9647.61,49411.88,Online Purchase,T0219
LEG7820373,00001523,20230925,7893.61,0.0,67776.77,Bill Payment,T0128
LEG0944043,ACC00006027,29-09-2023,0.0,4213.23,40788.21,Check Deposit,T0115
LEG6825653,ACC 00006144,02-05-2024,0.0,5944.14,8609.25,Direct Deposit,T0170
LEG4779437,ACC 00006147,24-09-2023,0.0,6207.36,46302.57,Refund,T0178
LEG6731324,ACC 00003102,03-27-2024,0.0,13183.0,61293.46,Card Purchase,T0233
LEG2165682,00001761,12-01-2024,0.0,3056.53,30639.6,Check Deposit,T0103
LEG1228827,ACC-0000-7934,28-02-2024,0.0,4801.35,86689.65,Refund,T0115
LEG8539157,ACC-0000-4171,11-14-2023,22233.05,0.0,78961.64,Direct Deposit,T0193
LEG1396873,ACC 00010492,05-12-2023,0.0,-13032.94,36411.77,Transfer In,T0202
LEG1268843,ACC-0000-7880,03/02/24,0.0,3145.0,30915.56,Transfer In,T0152
LEG7952262,ACC-0000-1351,02/19/24,0.0,23752.05,29217.85,ATM Withdrawal,T0119
LEG6679501,ACC-0000-5970,03/27/24,0.0,4090.11,45942.12,Transfer In,T0161
LEG6419045,ACC00008923,20230926,0.0,5696.23,94896.84,Card Purchase,T0220
LEG0470629,ACC-0000-4415,02-02-2024,7532.05,0.0,14302.58,Online Purchase,T0222
LEG7643456,ACC00001825,20231206,20341.37,0.0,16093.17,Interest Payment,T0215
LEG4111244,00002272,11-10-2023,0.0,16255.41,76661.6,Direct Deposit,T0161
LEG2775337,ACC 00005341,11-05-2023,22265.75,0.0,48967.41,Refund,T0137
LEG4622920,00010467,20231007,0.0,2100.86,7307.92,ATM Withdrawal,T0171
LEG9886923,00007346,20231219,0.0,9268.05,28170.52,Refund,T0181
LEG0774545,00006282,20231109,7463.07,0.0,47913.77,Monthly Fee,T0202
LEG4236786,ACC-0000-1206,09-29-2023,0.0,12710.89,37186.9,Transfer Out,T0223
LEG2513506,ACC-0000-8426,20240111,0.0,16720.58,73258.35,Transfer In,T0233
LEG2488756,ACC-0000-4946,02/27/24,0.0,15800.51,95517.65,Wire Transfer,T0180
LEG2591929,ACC00004395,02/08/24,19381.68,0.0,96438.79,Wire Transfer,T0210
LEG0300614,00006252,12-06-2023,0.0,22895.9,16234.19,Wire Transfer,T0154
LEG6031459,ACC 00010354,24-09-2023,0.0,17418.6,77818.01,Transfer In,T0187
LEG1755798,ACC 00005489,01-10-2023,10251.49,0.0,61827.04,Online Purchase,T0249
LEG6664023,ACC 00007478,13-03-2024,0.0,2068.82,66890.98,Transfer In,T0226
LEG4817079,ACC-0000-2808,20240302,0.0,17532.12,50733.38,Monthly Fee,T0172
LEG4127806,ACC00001600,20230929,22726.0,0.0,20671.43,Bill Payment,T0106
LEG8986372,ACC 00007319,12/19/23,6984.41,0.0,71264.17,Bill Payment,T0216
LEG5193341,ACC-0000-3806,02-25-2024,0.0,3398.25,27134.21,Wire Transfer,T0109
LEG2190806,ACC 00009831,12/24/23,14845.19,0.0,77385.9,Wire Transfer,T0100
LEG5078738,ACC-0000-8955,01/24/24,5793.75,0.0,1015.87,Check Deposit,T0181
LEG4068205,ACC00009937,11-12-2023,10920.27,0.0,86167.25,Online Purchase,T0216
LEG6542600,00004685,16-10-2023,0.0,2504.75,76668.11,Bill Payment,T0233
LEG3816212,ACC-0000-6463,02-02-2024,0.0,10519.49,47749.88,Transfer In,T0127
LEG8174643,00009720,20240308,0.0,1530.03,83142.94,Bill Payment,T0234
LEG4908366,ACC00004253,21-01-2024,18989.8,0.0,-2453.29,Interest Payment,T0121
LEG1085937,ACC00007155,09-19-2023,0.0,4036.65,13082.08,Transfer Out,T0147
LEG5262235,ACC00004729,14-02-2024,2563.16,0.0,82555.84,Refund,T0108
LEG2865654,ACC00003297,20230919,19538.51,0.0,86716.71,Refund,T0181
LEG0358376,00004286,12/27/23,4909.1,0.0,70275.28,Monthly Fee,T0245
LEG6574663,ACC00010627,15-01-2024,0.0,1200.77,69169.9,Card Purchase,T0156
LEG0093078,ACC 00006803,20-12-2023,9888.37,0.0,57099.97,Monthly Fee,T0218
LEG2752390,ACC 00004284,10/13/23,2391.85,0.0,75197.82,Transfer In,T0183
LEG3307738,00002952,01/26/24,0.0,19140.89,17947.84,Transfer Out,T0106
LEG8927067,ACC-0000-3888,28-10-2023,0.0,22413.7,44051.05,Refund,T0192
LEG9462708,ACC 00006459,20240329,17871.22,0.0,55102.78,Check Deposit,T0148
LEG0105971,ACC-0000-2046,20231115,0.0,21376.54,59236.15,Transfer In,T0174
LEG5929958,ACC00009937,20240226,13635.32,0.0,45333.42,Interest Payment,T0181
LEG5234962,ACC00003487,12-26-2023,0.0,9410.29,83737.81,Bill Payment,T0195
LEG1273940,00009595,09-01-2024,0.0,-20466.44,93954.92,Bill Payment,T0134
LEG0539987,ACC00005769,23-02-2024,14086.59,0.0,44516.8,Check Deposit,T0196
LEG2123794,ACC 00009021,12-19-2023,5527.74,-0.0,36514.7,Transfer Out,T0165
LEG7070119,ACC-0000-2655,11-26-2023,3410.88,0.0,90188.4,Wire Transfer,T0157
LEG0658735,ACC 00003700,03/24/24,13069.15,0.0,48026.25,Transfer Out,T0237
LEG8100541,ACC00005993,20231017,10914.3,0.0,88203.77,Transfer In,T0180
LEG3775145,ACC00002518,27-02-2024,0.0,22448.39,29013.12,Transfer In,T0249
LEG8766002,ACC 00009745,08-12-2023,1169.31,0.0,2082.25,Refund,T0126
LEG0215607,ACC 00006277,01-03-2024,4626.27,0.0,64297.41,Monthly Fee,T0240
LEG9115391,00006442,25-10-2023,0.0,23705.02,8527.03,Online Purchase,T0238
LEG0985409,ACC00010562,08-10-2023,11689.28,0.0,60362.28,Refund,T0182
LEG5451893,00010306,10/30/23,0.0,338.71,60193.07,Bill Payment,T0116
LEG0830472,ACC-0000-3547,09/22/23,0.0,1519.81,72125.66,Transfer Out,T0243
LEG2160880,ACC00010737,11-06-2023,-1187.96,0.0,5581.2,Card Purchase,T0144
LEG6102343,ACC00002871,20240119,0.0,18396.07,17425.99,ATM Withdrawal,T0125
LEG8013589,00004643,01/28/24,0.0,20328.0,96373.99,Online Purchase,T0205
LEG9019880,ACC 00010418,01/16/24,2965.28,0.0,84371.72,ATM Withdrawal,T0230
LEG8312332,ACC00002858,02-17-2024,0.0,23590.16,17963.1,Card Purchase,T0171
LEG9271533,ACC-0000-1378,12/01/23,6.39,0.0,11250.93,Transfer Out,T0108
LEG9638554,ACC-0000-7455,04/05/24,0.0,14861.35,4129.92,Direct Deposit,T0229
LEG6579421,00009171,03-16-2024,0.0,339.27,71722.22,Transfer In,T0249
LEG1003803,ACC00009636,01/02/24,15607.57,0.0,85397.98,ATM Withdrawal,T0205
LEG2774155,ACC-0000-2502,09-29-2023,1185.83,0.0,7938.83,Refund,T0231
LEG5963158,00009638,09-27-2023,11617.36,0.0,68190.19,Wire Transfer,T0227
LEG1524127,ACC00007667,08-01-2024,24230.19,0.0,21770.64,ATM Withdrawal,T0117
LEG4514039,ACC-0000-2351,12-06-2023,13627.43,0.0,77520.67,Check Deposit,T0185
LEG3194240,00003613,01/19/24,1066.99,0.0,86756.68,ATM Withdrawal,T0148
LEG7821995,ACC-0000-9508,05-02-2024,0.0,12038.01,7879.64,Card Purchase,T0211
LEG0643728,ACC-0000-6295,01-07-2024,1990.22,0.0,14173.95,Refund,T0125
LEG5738722,00008869,20231213,0.0,10171.38,87846.58,Online Purchase,T0186
LEG8168048,ACC 00005028,12/22/23,17563.5,0.0,54476.8,Direct Deposit,T0111
LEG2766372,ACC00004531,01/25/24,0.0,2442.61,2548.98,Direct Deposit,T0238
LEG5061996,ACC00006557,02-15-2024,18074.74,0.0,83264.7,Check Deposit,T0238
LEG0689895,00005602,20231228,0.0,23961.13,29024.74,Check Deposit,T0184
LEG3175707,ACC00004255,03/29/24,23155.65,0.0,66587.96,ATM Withdrawal,T0173
LEG4190427,ACC-0000-9249,03/08/24,0.0,9916.12,28316.39,ATM Withdrawal,T0108
LEG8069177,00005556,11-21-2023,0.0,18231.62,54960.51,Check Deposit,T0137
LEG7831063,ACC00009254,10/27/23,0.0,16679.1,86503.66,Refund,T0132
LEG5470022,ACC-0000-3238,05-10-2023,6739.93,0.0,51666.97,Online Purchase,T0190
LEG6970859,ACC 00004161,29-11-2023,16199.27,0.0,23800.36,Transfer Out,T0128
LEG3234917,ACC 00001901,24-09-2023,17501.88,0.0,56993.01,Check Deposit,T0128
LEG5669106,ACC 00007760,23-02-2024,0.0,744.97,30112.54,Online Purchase,T0143
LEG7355401,ACC00003351,08-11-2023,0.0,14035.17,36582.17,Bill Payment,T0181
LEG9245485,ACC 00008857,12-15-2023,0.0,5421.18,12903.68,Refund,T0167
LEG2775349,ACC00003407,12/28/23,16382.33,0.0,30352.65,Wire Transfer,T0193
LEG1934260,ACC-0000-4659,01/26/24,0.0,13050.66,56971.54,ATM Withdrawal,T0233
LEG0383866,ACC00002188,20231005,0.0,15606.42,27631.07,Card Purchase,T0130
LEG6217881,ACC00010876,22-11-2023,0.0,22299.37,22995.29,Bill Payment,T0211
LEG8586091,ACC-0000-3779,19-12-2023,0.0,1231.08,21641.9,Online Purchase,T0227
LEG2412513,ACC00006811,02-05-2024,11153.01,0.0,73690.26,Check Deposit,T0160
LEG7162564,00001559,20240310,0.0,8851.23,20532.84,Direct Deposit,T0150
LEG4046687,ACC 00010188,08-01-2024,0.0,9233.07,11601.56,Check Deposit,T0124
LEG1923240,ACC-0000-9004,19-10-2023,20158.29,0.0,49483.81,Refund,T0245
LEG8063393,ACC 00007048,02-20-2024,0.0,5308.1,49408.65,Monthly Fee,T0108
LEG0228445,ACC00003054,29-09-2023,2128.82,0.0,41394.42,Online Purchase,T0181
LEG7543133,ACC-0000-3304,11-01-2024,13322.39,0.0,48104.39,Bill Payment,T0139
LEG9322141,00004817,02-07-2024,16825.25,0.0,41280.84,Bill Payment,T0125
LEG1613618,ACC00006095,01-10-2024,0.0,5147.53,25907.22,Interest Payment,T0247
LEG3263162,00010624,30-11-2023,0.0,6839.04,64410.15,Bill Payment,T0138
LEG2502918,ACC-0000-5854,01/11/24,0.0,6407.27,40527.83,Online Purchase,T0132
LEG7570465,ACC-0000-5072,12/13/23,0.0,8345.83,24483.06,Interest Payment,T0108
LEG7538843,00003510,11-10-2023,0.0,4925.98,24415.37,ATM Withdrawal,T0187
LEG2673645,ACC00010471,20231121,15114.61,0.0,36271.22,Online Purchase,T0198
LEG0590627,00006848,03-02-2024,0.0,4426.97,47691.59,Transfer Out,T0231
LEG8476077,ACC 00010789,20240224,22603.17,0.0,3890.12,Interest Payment,T0177
LEG3748897,ACC 00009138,04-03-2024,0.0,18532.72,18522.2,Bill Payment,T0241
LEG3008448,ACC00010312,11/15/23,5247.64,0.0,34757.51,Check Deposit,T0114
LEG4137796,00001153,03/24/24,3703.11,0.0,86923.82,Bill Payment,T0240
LEG3383199,ACC 00010117,03/24/24,0.0,8822.97,84294.39,Monthly Fee,T0107
LEG0206791,ACC00001172,03-28-2024,0.0,20780.87,6485.7,Wire Transfer,T0142
LEG1142004,ACC00002668,10-11-2023,4964.87,0.0,81624.09,Card Purchase,T0205
LEG6948797,ACC-0000-5404,20231117,0.0,19467.07,65385.48,Refund,T0127
LEG7540273,ACC00008733,11/05/23,6520.93,0.0,18253.4,Monthly Fee,T0182
LEG8663024,ACC00003424,20-12-2023,12280.12,0.0,18093.14,Bill Payment,T0211
LEG0913953,ACC00003210,08-01-2024,10807.52,0.0,81696.81,Interest Payment,T0102
LEG3235076,00003730,05-04-2024,16045.51,0.0,57501.65,Online Purchase,T0127
LEG3132967,ACC-0000-1080,14-01-2024,0.0,10529.16,14606.66,Card Purchase,T0246
LEG2010568,ACC00006783,20240101,0.0,1507.64,20245.53,Card Purchase,T0178
LEG6228143,ACC-0000-5312,20240309,0.0,21790.57,64343.43,Wire Transfer,T0127
LEG6428128,00002271,02-13-2024,2323.85,0.0,95766.08,Wire Transfer,T0165
LEG6094395,ACC 00009308,04/04/24,10927.8,0.0,88931.16,Monthly Fee,T0147
LEG2149432,ACC 00001373,10-23-2023,0.0,2101.59,43387.7,Direct Deposit,T0243
LEG0586775,ACC00003435,20240116,0.0,3891.47,12752.91,ATM Withdrawal,T0222
LEG6818780,ACC00004418,12-22-2023,13104.16,0.0,53443.78,Interest Payment,T0113
LEG8974984,ACC-0000-2141,10-19-2023,0.0,10748.01,81764.55,Direct Deposit,T0225
LEG8369625,ACC00001813,03-18-2024,0.0,13987.79,-52780.98,Monthly Fee,T0127
LEG0965789,ACC-0000-2211,03/08/24,2130.52,0.0,64249.78,Wire Transfer,T0228
LEG2558855,00010581,20231107,0.0,4566.47,1362.2,ATM Withdrawal,T0211
LEG7418620,00006735,09/24/23,13291.75,0.0,7587.55,Direct Deposit,T0224
LEG8220770,ACC-0000-6982,17-12-2023,0.0,16489.46,20665.91,ATM Withdrawal,T0220
LEG9667510,00002113,20231016,10461.28,0.0,2371.76,Refund,T0154
LEG7507087,ACC-0000-7711,01-09-2024,0.0,24269.73,63444.35,Bill Payment,T0101
LEG8657407,00003113,20231120,4910.07,0.0,73156.05,Transfer In,T0109
LEG8744376,ACC00009390,20231207,0.0,8871.29,43538.82,Refund,T0105
LEG1175252,00010915,22-10-2023,9418.18,0.0,78474.25,Online Purchase,T0200
LEG0865465,ACC 00009255,20231220,19619.67,0.0,98185.77,Refund,T0215
LEG0883940,ACC-0000-7800,20231123,0.0,1650.04,67392.76,Check Deposit,T0162
LEG4076690,ACC-0000-9131,11-16-2023,0.0,14176.24,72576.86,Check Deposit,T0207
LEG9641838,ACC 00009244,10/03/23,6968.27,0.0,48465.58,Transfer Out,T0124
LEG5548701,ACC-0000-9086,01/03/24,19194.61,0.0,91374.76,Check Deposit,T0246
LEG2922347,00006192,12-15-2023,0.0,20617.25,34147.34,Interest Payment,T0180
LEG6587309,ACC00003238,20230928,18015.35,0.0,4296.94,Check Deposit,
LEG6798636,00001387,11/25/23,0.0,3887.11,64839.95,Online Purchase,T0204
LEG1932767,ACC-0000-7905,11-25-2023,12102.14,0.0,53981.43,Bill Payment,T0134
LEG2676018,ACC-0000-9895,13-10-2023,0.0,21345.05,81629.43,Online Purchase,T0133
LEG4253861,ACC 00008556,01-12-2024,0.0,2752.27,61094.24,Interest Payment,T0220
LEG1279921,ACC-0000-6258,02/21/24,0.0,17341.89,37117.85,Bill Payment,T0192
LEG1272896,ACC 00005042,20240227,0.0,9120.8,35124.71,Interest Payment,T0206
LEG7670116,ACC-0000-1874,26-03-2024,21769.95,0.0,63508.91,Refund,T0162
LEG3434522,ACC 00008873,11-12-2023,15792.08,0.0,26.47,Bill Payment,T0116
LEG3676420,ACC00001110,11-12-2023,15879.13,0.0,48765.43,Check Deposit,T0104
LEG5255830,ACC 00003992,20240324,0.0,1365.42,82550.55,Transfer Out,T0248
LEG0745759,00005600,02-11-2023,10957.16,0.0,95306.72,Refund,
LEG8444144,ACC-0000-7051,20230925,0.0,-16242.45,66851.47,Direct Deposit,T0187
LEG0218387,00003615,01-03-2024,24773.2,0.0,37469.27,Transfer In,T0115
LEG3615048,ACC 00010188,06-10-2023,0.0,565.42,12288.97,Direct Deposit,T0167
LEG0398567,00002664,10-01-2024,1018.87,0.0,41154.54,Card Purchase,T0215
LEG9035585,ACC-0000-4997,01/27/24,0.0,10232.59,72729.11,ATM Withdrawal,T0212
LEG9434489,ACC00002405,20240224,0.0,23615.13,50915.26,Monthly Fee,T0151
LEG1696663,ACC00006055,20240101,0.0,1090.38,94017.5,Transfer Out,T0115
LEG6763905,00002998,20240118,10278.71,0.0,79767.64,Bill Payment,T0171
LEG3291086,ACC-0000-5024,25-10-2023,0.0,2416.27,98252.29,Transfer In,T0194
LEG4999488,ACC-0000-9500,03-13-2024,3830.97,0.0,91942.4,Interest Payment,T0232
LEG0679514,ACC00009942,12-02-2023,559.92,0.0,97742.03,Monthly Fee,T0203
LEG5320042,ACC 00003248,02/17/24,0.0,14114.09,21949.54,Monthly Fee,T0193
LEG5086215,ACC 00001708,03/19/24,5661.53,0.0,-46283.44,Interest Payment,T0222
LEG4175007,ACC00009478,01-30-2024,2650.05,0.0,98762.16,Interest Payment,T0169
LEG5651002,00010466,03/05/24,0.0,23797.87,95478.52,Bill Payment,T0129
LEG3522147,ACC-0001-0168,30-09-2023,0.0,6373.23,47736.81,Online Purchase,T0242
LEG1997498,ACC-0000-1402,11-05-2023,12161.26,0.0,37307.53,Wire Transfer,T0160
LEG1699408,ACC-0000-1773,08-03-2024,3352.21,0.0,11772.35,Transfer In,T0194
LEG7457481,ACC-0001-0221,01/08/24,0.0,3231.67,93596.19,Transfer Out,T0213
LEG0434910,ACC00003060,29-02-2024,24420.19,0.0,65058.96,Card Purchase,T0155
LEG7542654,00004000,20240121,0.0,12588.07,72129.52,Transfer Out,T0177
LEG3929493,00002287,03/31/24,21016.78,0.0,5313.04,Monthly Fee,T0204
