payment_ref,account_no,payment_datetime,payment_amount,currency,merchant_code,auth_code,settlement_date
PGS082070657574,ACC00007749,03-Feb-2024 10:52,5983.32,USD,MER01581,,06-Feb-2024 10:52
PGS005779678870,ACC00004773,17/05/2024 12:37:55,8559.11,EUR,MER01568,AUTH2481,20/05/2024 12:37:55
PGS778268529639,ACC00004542,2024-05-08 00:46:41,413.47,AUD,MER01842,AUTH1794,2024-05-11 00:46:41
PGS427996499218,ACC00008540,20240312205042,1493.27,USD,MER01601,AUTH2575,20240314205042
PGS119829189477,ACC00002204,20240524041117,1909.48,GBP,MER01352,AUTH1517,20240526041117
PGS519552760480,ACC00004303,20240202213617,1463.24,CAD,MER01598,,20240205213617
PGS582620185938,ACC00007183,20240213194706,926.65,GBP,MER01969,AUTH8571,20240215194706
PGS021338131473,ACC00004091,06/01/2024 02:23:59,7014.1,USD,MER01668,AUTH1018,08/01/2024 02:23:59
PGS430971219458,ACC00008953,2024-04-18 22:09:43,2008.08,GBP,MER01017,AUTH3603,2024-04-21 22:09:43
PGS989068693529,ACC00003042,16-Jan-2024 22:20,8606.49,USD,MER01007,AUTH0050,19-Jan-2024 22:20
PGS913361324022,ACC00001295,20231229213304,363.17,EUR,MER01658,AUTH1928,20240101213304
PGS285722518959,ACC00010566,20240306155009,3908.68,EUR,MER01640,AUTH1089,20240308155009
PGS880649993653,ACC00004922,04/01/2024 12:49:53,10613.71,AUD,MER01240,AUTH2879,06/01/2024 12:49:53
PGS386501087557,ACC00001376,20-Feb-2024 15:22,10490.59,AUD,MER01741,AUTH4727,21-Feb-2024 15:22
PGS144064714409,ACC00007800,17-Mar-2024 08:58,6403.07,EUR,MER01736,AUTH0349,18-Mar-2024 08:58
PGS301936827027,ACC00002461,17-Jan-2024 16:18,8360.58,CAD,MER01815,AUTH4370,19-Jan-2024 16:18
PGS095167408703,ACC00006717,2024-02-13 10:25:55,5140.58,AUD,MER01237,AUTH2545,2024-02-15 10:25:55
PGS465849890059,ACC00007257,19-Jan-2024 10:46,5778.42,EUR,MER01148,AUTH8564,22-Jan-2024 10:46
PGS496943440903,ACC00005778,11/04/2024 02:11:45,7983.55,EUR,MER01809,,12/04/2024 02:11:45
PGS095499595721,ACC00004647,04/02/2024 02:48:37,3475.77,GBP,MER01749,AUTH2966,06/02/2024 02:48:37
PGS819573480719,ACC00003765,04/22/2024 07:31 AM,5919.72,GBP,MER01309,AUTH8855,04/23/2024 07:31 AM
PGS576855937844,ACC00007120,20240111231056,5222.11,CAD,MER01463,AUTH5452,20240114231056
PGS310355541866,ACC00005761,03/01/2024 18:10:24,2376.92,AUD,MER01128,AUTH6327,06/01/2024 18:10:24
PGS542463451185,ACC00002622,01/04/2024 04:10 AM,4178.7,EUR,MER01429,AUTH3985,01/06/2024 04:10 AM
PGS484568330896,ACC00008926,03/03/2024 09:16:36,7715.83,CAD,MER01743,AUTH0570,04/03/2024 09:16:36
PGS496114303042,ACC00006302,20240229153712,6008.69,GBP,MER01178,AUTH6624,20240301153712
PGS323499026639,ACC00001317,12-May-2024 23:24,6845.96,CAD,MER01238,AUTH7465,14-May-2024 23:24
PGS079763748527,ACC00006692,15/02/2024 00:31:49,5015.62,GBP,MER01768,AUTH7215,18/02/2024 00:31:49
PGS460252964839,ACC00002132,20240509163127,2080.46,EUR,MER01802,AUTH5740,20240512163127
PGS520066112816,ACC00001706,30/04/2024 09:16:26,8353.28,EUR,MER01740,,01/05/2024 09:16:26
PGS930638770940,ACC00002469,21/04/2024 09:23:13,10706.48,AUD,MER01117,AUTH0791,24/04/2024 09:23:13
PGS187941484998,ACC00001981,20231231044224,1532.06,GBP,MER01863,AUTH0479,20240103044224
PGS724594284507,ACC00004423,20240423004156,6942.43,CAD,MER01668,AUTH4368,20240426004156
PGS379969892143,ACC00010480,07/02/2024 11:23:14,9585.25,AUD,MER01390,AUTH5825,09/02/2024 11:23:14
PGS668385049376,ACC00003290,29/01/2024 11:24:15,7539.1,CAD,MER01746,AUTH6641,31/01/2024 11:24:15
PGS562549829468,ACC00008567,07/04/2024 17:29:39,2344.86,EUR,MER01954,AUTH4174,09/04/2024 17:29:39
PGS378346555424,ACC00002074,15-Jan-2024 07:20,7231.39,GBP,MER01880,AUTH9049,18-Jan-2024 07:20
PGS105010380403,ACC00002625,01/02/2024 03:05:33,5159.09,USD,MER01207,AUTH6006,02/02/2024 03:05:33
PGS943615518380,ACC00008322,20240110042618,7668.31,AUD,MER01817,AUTH7110,20240113042618
PGS085050919790,ACC00007200,19-Apr-2024 01:18,6951.17,GBP,MER01365,AUTH5469,20-Apr-2024 01:18
PGS949956409440,ACC00001463,28-Jan-2024 01:28,2323.89,EUR,MER01092,AUTH2514,30-Jan-2024 01:28
PGS968179516247,ACC00002694,17-May-2024 15:59,8605.67,CAD,MER01405,AUTH9917,18-May-2024 15:59
PGS311751120167,ACC00006640,2024-05-17 19:07:11,6281.59,GBP,MER01219,AUTH5637,2024-05-19 19:07:11
PGS609789360034,ACC00004199,04/17/2024 05:36 AM,7487.38,USD,MER01827,,04/20/2024 05:36 AM
PGS029761203187,ACC00006505,20240316151128,7997.83,USD,MER01641,AUTH3632,20240317151128
PGS512936401565,ACC00006225,11/02/2024 14:53:07,2108.6,AUD,MER01066,AUTH1949,13/02/2024 14:53:07
PGS649161548012,ACC00005190,2024-03-07 21:24:41,5199.54,EUR,MER01117,AUTH6914,2024-03-08 21:24:41
PGS192190916555,ACC00003365,19-May-2024 02:56,9482.39,CAD,MER01481,AUTH3814,20-May-2024 02:56
PGS345297245535,ACC00002976,20240124122133,2009.16,CAD,MER01416,AUTH1815,20240127122133
PGS539767990005,ACC00007665,2024-05-14 18:18:42,8587.87,CAD,MER01697,AUTH8226,2024-05-15 18:18:42
PGS077755144668,ACC00005344,20240320191242,6987.02,CAD,MER01935,AUTH7828,20240323191242
PGS444136558511,ACC00001020,05/16/2024 04:57 PM,5616.17,EUR,MER01799,AUTH9612,05/19/2024 04:57 PM
PGS659951490370,ACC00006112,16-Apr-2024 03:36,5322.54,CAD,MER01152,,17-Apr-2024 03:36
PGS576517811233,ACC00006102,2024-04-26 06:22:02,11748.68,CAD,MER01648,AUTH0363,2024-04-27 06:22:02
PGS550244260461,ACC00006323,20240131230232,3612.61,EUR,MER01256,AUTH0469,20240202230232
PGS092083819823,ACC00001666,20240129202852,3899.95,EUR,MER01847,AUTH4761,20240131202852
PGS271646934652,ACC00008977,02/11/2024 09:53 AM,585.8,EUR,MER01563,AUTH1734,
PGS249382248469,ACC00004543,04/21/2024 07:03 PM,8562.11,USD,MER01268,AUTH4285,04/23/2024 07:03 PM
PGS998189128109,ACC00006530,20240417104541,6088.25,GBP,MER01829,AUTH1027,20240419104541
PGS635020802686,ACC00008813,02-Mar-2024 18:29,960.15,EUR,MER01497,AUTH4963,05-Mar-2024 18:29
PGS255456080812,ACC00009786,15/02/2024 03:28:25,999.62,CAD,MER01106,AUTH0566,16/02/2024 03:28:25
PGS117180963363,ACC00006149,29/04/2024 06:15:03,5425.78,AUD,MER01441,AUTH9762,01/05/2024 06:15:03
PGS485383887898,ACC00007191,12-Feb-2024 18:50,2050.77,AUD,MER01811,AUTH0510,15-Feb-2024 18:50
PGS667267761779,ACC00010688,20240317081443,5943.42,USD,MER01727,AUTH1682,20240320081443
PGS791590470026,ACC00006766,03/26/2024 01:17 PM,6653.77,USD,MER01502,AUTH6740,03/27/2024 01:17 PM
PGS353496491932,ACC00010222,01/26/2024 10:22 AM,6498.22,EUR,MER01556,AUTH8778,01/27/2024 10:22 AM
PGS880589779361,ACC00001677,27-Feb-2024 09:00,5594.65,USD,MER01426,AUTH8821,29-Feb-2024 09:00
PGS584326340094,ACC00008389,2024-01-23 07:49:45,8051.54,EUR,MER01039,AUTH7104,2024-01-24 07:49:45
PGS044280050702,ACC00006912,03/02/2024 20:58:02,1722.32,CAD,MER01438,AUTH0349,05/02/2024 20:58:02
PGS801204272925,ACC00002571,18/03/2024 11:37:02,4878.33,AUD,MER01069,AUTH1033,20/03/2024 11:37:02
PGS446494021504,ACC00006758,16/01/2024 10:06:45,7945.69,CAD,MER01408,AUTH4146,
PGS395281971867,ACC00001317,2024-01-23 21:09:37,3586.35,EUR,MER01854,AUTH0408,2024-01-26 21:09:37
PGS345742195369,ACC00008872,03/18/2024 05:04 AM,7434.63,CAD,MER01866,AUTH5723,03/19/2024 05:04 AM
PGS429749711176,ACC00001972,03-May-2024 17:19,9785.39,USD,MER01978,AUTH9348,05-May-2024 17:19
PGS678833295622,ACC00006412,20/04/2024 19:06:22,5372.25,EUR,MER01314,AUTH8433,23/04/2024 19:06:22
PGS877236619096,ACC00010177,19/02/2024 18:31:32,4872.01,GBP,MER01922,AUTH7732,20/02/2024 18:31:32
PGS112586078042,ACC00004061,2024-02-28 11:12:08,6633.48,USD,MER01604,AUTH4095,2024-03-02 11:12:08
PGS385654355116,ACC00007256,03-Feb-2024 09:56,7118.67,CAD,MER01861,AUTH9096,04-Feb-2024 09:56
PGS160417826584,ACC00010389,2024-05-25 20:07:46,8387.55,USD,MER01523,,2024-05-28 20:07:46
PGS905953600914,ACC00002177,20240207192601,7052.35,AUD,MER01343,AUTH1706,20240208192601
PGS215653295326,ACC00007811,2024-04-29 20:10:55,7234.77,EUR,MER01326,AUTH8392,2024-04-30 20:10:55
PGS217725180768,ACC00006079,19/02/2024 04:18:51,4620.98,EUR,MER01024,AUTH3136,20/02/2024 04:18:51
PGS947094267746,ACC00004316,03/07/2024 03:29 AM,2306.44,AUD,MER01731,,03/09/2024 03:29 AM
PGS076842882772,ACC00007862,2024-03-09 01:35:39,6787.85,GBP,MER01697,AUTH1254,2024-03-10 01:35:39
PGS288661269224,ACC00005606,2024-05-06 08:01:47,4605.99,EUR,MER01571,AUTH1500,2024-05-08 08:01:47
PGS432230360404,ACC00004469,2024-03-31 18:46:06,4451.86,AUD,MER01930,AUTH2270,2024-04-03 18:46:06
PGS647430697191,ACC00009941,20240414230947,6513.24,EUR,MER01074,AUTH1080,20240417230947
PGS307429909953,ACC00008561,2024-04-11 02:24:42,2591.29,GBP,MER01553,AUTH4660,2024-04-13 02:24:42
PGS267376643105,ACC00006379,2024-04-20 23:21:59,10396.54,AUD,MER01087,AUTH8008,2024-04-22 23:21:59
PGS612778022311,ACC00007059,09-Apr-2024 02:04,8621.31,EUR,MER01407,,11-Apr-2024 02:04
PGS171744056874,ACC00006349,01/05/2024 22:25:39,4674.53,EUR,MER01494,,02/05/2024 22:25:39
PGS835678071504,ACC00008752,2024-01-11 03:04:25,6546.89,EUR,MER01572,AUTH7716,
PGS127467503041,ACC00007453,21/01/2024 23:13:03,3506.29,AUD,MER01043,AUTH5293,22/01/2024 23:13:03
PGS797620043442,ACC00006652,2024-05-01 12:06:19,6224.08,USD,MER01874,AUTH8612,2024-05-04 12:06:19
PGS153872337590,ACC00002683,04/02/2024 03:32:22,6803.72,AUD,MER01938,AUTH4448,05/02/2024 03:32:22
PGS040212644290,ACC00005255,14/02/2024 20:54:11,5884.18,GBP,MER01837,,15/02/2024 20:54:11
PGS457761182837,ACC00010174,20240525012326,3929.17,USD,MER01736,AUTH6862,20240528012326
PGS560303391564,ACC00005933,23/04/2024 02:38:08,7186.42,GBP,MER01240,AUTH8062,26/04/2024 02:38:08
PGS338687199852,ACC00010682,20240404123541,3598.1,USD,MER01881,AUTH9843,20240406123541
PGS285131343388,ACC00009792,2024-02-22 09:36:21,7696.08,EUR,MER01607,AUTH9013,2024-02-23 09:36:21
PGS979342557650,ACC00003089,04/26/2024 01:29 PM,4439.65,USD,MER01316,AUTH2772,04/27/2024 01:29 PM
PGS254639446476,ACC00001927,20240212072638,9735.11,AUD,MER01759,AUTH5278,20240214072638
PGS360940425854,ACC00001791,20240305111712,924.21,USD,MER01201,AUTH8421,20240308111712
PGS704581784383,ACC00008345,2024-04-14 23:13:16,3095.08,EUR,MER01398,AUTH8680,2024-04-17 23:13:16
PGS135442396213,ACC00004406,20240504075157,3401.57,EUR,MER01653,AUTH3354,20240506075157
PGS553931066587,ACC00005882,05/18/2024 10:43 PM,103.4,GBP,MER01182,,05/19/2024 10:43 PM
PGS362049896075,ACC00009736,20240114202314,3575.17,CAD,MER01833,AUTH1223,20240117202314
PGS216816183519,ACC00002568,2024-03-20 11:28:46,7908.68,AUD,MER01204,AUTH6609,2024-03-21 11:28:46
PGS577418822160,ACC00004733,2024-05-19 12:44:31,4566.69,USD,MER01174,,2024-05-20 12:44:31
PGS883626482185,ACC00003418,05-Apr-2024 17:09,1244.46,CAD,MER01382,AUTH0874,08-Apr-2024 17:09
PGS948106256969,ACC00006898,20240307214128,3774.46,AUD,MER01794,AUTH6377,20240309214128
PGS046309084511,ACC00003324,20240210140257,3846.0,GBP,MER01245,AUTH8237,20240211140257
PGS551114984914,ACC00003270,20231228002609,6904.59,GBP,MER01354,AUTH4140,20231230002609
PGS979150297892,ACC00003906,20240307142957,7758.28,AUD,MER01697,AUTH1822,20240308142957
PGS930970989396,ACC00002536,03/22/2024 09:47 PM,6853.01,EUR,MER01703,AUTH2127,03/23/2024 09:47 PM
PGS156657524457,ACC00004334,05/02/2024 15:02:04,5295.77,GBP,MER01963,AUTH0337,08/02/2024 15:02:04
PGS273938150735,ACC00004961,04/25/2024 06:21 PM,3543.92,AUD,MER01667,AUTH5210,04/28/2024 06:21 PM
PGS838170609703,ACC00002927,2024-02-19 03:21:13,1820.63,EUR,MER01240,AUTH6236,
PGS538721243540,ACC00001306,07-Jan-2024 09:53,7858.73,EUR,MER01569,,10-Jan-2024 09:53
PGS800752035994,ACC00002995,09-May-2024 15:45,6432.72,GBP,MER01698,AUTH5580,10-May-2024 15:45
PGS664947008862,ACC00003575,20240106123606,5995.66,USD,MER01947,AUTH3373,20240107123606
PGS525704482866,ACC00008312,16/02/2024 21:56:34,7527.24,EUR,MER01539,AUTH4740,19/02/2024 21:56:34
PGS335018987238,ACC00004282,2024-03-09 04:23:48,323.4,USD,MER01674,AUTH2392,2024-03-12 04:23:48
PGS324589674948,ACC00010734,02/09/2024 09:04 AM,6703.57,CAD,MER01304,AUTH5890,02/12/2024 09:04 AM
PGS647459750873,ACC00009613,02/28/2024 05:44 AM,6019.68,EUR,MER01120,AUTH1792,02/29/2024 05:44 AM
PGS560676602842,ACC00008278,05/02/2024 06:52 PM,7468.26,EUR,MER01584,AUTH7109,05/03/2024 06:52 PM
PGS492141109017,ACC00008028,22/03/2024 11:21:33,2062.2,CAD,MER01269,AUTH7456,25/03/2024 11:21:33
PGS801760795264,ACC00001097,02/01/2024 20:51:30,7395.16,GBP,MER01037,AUTH1682,03/01/2024 20:51:30
PGS136963730534,ACC00006824,2024-04-07 08:36:45,5699.66,AUD,MER01451,AUTH7180,2024-04-08 08:36:45
PGS684429809027,ACC00010590,06/03/2024 07:08:06,4210.02,CAD,MER01609,AUTH1096,08/03/2024 07:08:06
PGS778886591916,ACC00001204,27/03/2024 23:40:03,5549.75,USD,MER01394,AUTH6159,30/03/2024 23:40:03
PGS446318560344,ACC00010905,01/19/2024 09:22 AM,8486.28,USD,MER01290,AUTH9614,01/21/2024 09:22 AM
PGS633622977041,ACC00006821,2024-05-20 20:57:59,5086.79,USD,MER01158,AUTH8415,2024-05-22 20:57:59
PGS401358461934,ACC00001950,25/01/2024 00:26:55,2575.43,EUR,MER01373,AUTH9015,28/01/2024 00:26:55
PGS565606354263,ACC00004589,15/05/2024 03:24:01,6214.51,EUR,MER01035,AUTH7840,18/05/2024 03:24:01
PGS741468003020,ACC00010236,02/04/2024 11:57 AM,8702.28,USD,MER01295,AUTH9455,02/06/2024 11:57 AM
PGS267565336603,ACC00001783,21-Apr-2024 22:13,9847.94,USD,MER01240,AUTH6917,23-Apr-2024 22:13
PGS660401859537,ACC00001748,04/03/2024 08:36:06,2800.56,EUR,MER01847,AUTH5317,06/03/2024 08:36:06
PGS207452840726,ACC00007637,2024-04-21 02:22:03,8339.05,EUR,MER01260,AUTH1168,2024-04-22 02:22:03
PGS871613234502,ACC00009929,01/04/2024 02:34 PM,4620.94,GBP,MER01270,AUTH2781,01/06/2024 02:34 PM
PGS356300576578,ACC00005056,03-May-2024 09:48,702.45,EUR,MER01216,AUTH9119,04-May-2024 09:48
PGS491870647875,ACC00004871,01/05/2024 08:52:00,7273.89,GBP,MER01631,,02/05/2024 08:52:00
PGS291416368612,ACC00007476,07-Apr-2024 10:08,8549.04,AUD,MER01148,AUTH6122,10-Apr-2024 10:08
PGS842722387748,ACC00010803,2024-01-01 18:46:30,1170.18,USD,MER01440,AUTH6354,2024-01-02 18:46:30
PGS580292968403,ACC00008087,01/03/2024 11:59:06,11072.73,CAD,MER01830,AUTH8875,04/03/2024 11:59:06
PGS784540484731,ACC00004246,2024-05-04 00:55:43,4180.69,EUR,MER01845,AUTH2658,2024-05-07 00:55:43
PGS039457969817,ACC00006096,2024-05-15 06:03:57,4018.99,GBP,MER01163,AUTH0089,2024-05-17 06:03:57
PGS435937271666,ACC00002695,20240420113845,5368.12,CAD,MER01417,AUTH8284,20240422113845
PGS338567425629,ACC00004096,11-Apr-2024 22:04,6005.33,EUR,MER01000,AUTH3902,14-Apr-2024 22:04
PGS578922998184,ACC00002615,20240313083730,5586.66,GBP,MER01719,AUTH9443,20240316083730
PGS407350216256,ACC00004764,23/02/2024 03:03:21,1104.06,EUR,MER01732,,26/02/2024 03:03:21
PGS625830188186,ACC00009872,15-Apr-2024 04:26,6503.46,EUR,MER01152,AUTH9177,18-Apr-2024 04:26
PGS048027426797,ACC00006344,05/22/2024 02:57 PM,1938.77,AUD,MER01408,AUTH9345,05/25/2024 02:57 PM
PGS098794986089,ACC00009705,29-Dec-2023 20:55,4300.91,CAD,MER01900,AUTH5576,01-Jan-2024 20:55
PGS551387449131,ACC00005069,05-Apr-2024 14:52,11080.87,CAD,MER01044,AUTH9184,06-Apr-2024 14:52
PGS024993062938,ACC00001083,02/03/2024 08:03 AM,2766.59,USD,MER01646,AUTH7197,02/04/2024 08:03 AM
PGS265332703946,ACC00003794,20240201171444,9522.13,AUD,MER01236,AUTH3159,20240203171444
PGS215902833622,ACC00004867,20240211223309,6508.47,EUR,MER01921,AUTH1882,20240213223309
PGS552803629207,ACC00007553,02/21/2024 04:50 PM,2366.97,CAD,MER01021,AUTH5742,02/24/2024 04:50 PM
PGS507856595921,ACC00010076,03/08/2024 02:22 PM,2057.11,USD,MER01586,AUTH7155,03/09/2024 02:22 PM
PGS004992987994,ACC00006198,25/02/2024 08:33:29,7081.93,GBP,MER01658,AUTH9955,26/02/2024 08:33:29
PGS465105205979,ACC00005342,2024-04-08 20:32:21,3051.65,USD,MER01566,AUTH9561,2024-04-11 20:32:21
PGS511056142169,ACC00004159,05/05/2024 09:02 PM,7973.22,AUD,MER01873,AUTH1995,05/07/2024 09:02 PM
PGS640751005841,ACC00010886,22-Apr-2024 18:18,8863.07,EUR,MER01535,AUTH6541,23-Apr-2024 18:18
PGS871093761729,ACC00006340,20240503071506,42.47,USD,MER01721,AUTH3916,20240506071506
PGS354403841331,ACC00006606,20240320050938,3577.59,GBP,MER01856,AUTH1402,20240323050938
PGS888519344056,ACC00009692,05/16/2024 09:38 PM,5389.69,USD,MER01170,,05/17/2024 09:38 PM
PGS229203405347,ACC00009167,24-Apr-2024 22:31,9109.11,CAD,MER01845,AUTH1466,25-Apr-2024 22:31
PGS077931267306,ACC00006690,02/21/2024 11:20 PM,3294.55,USD,MER01292,AUTH1242,02/24/2024 11:20 PM
PGS641549079937,ACC00001182,20240108170527,6158.07,GBP,MER01367,,20240111170527
PGS111372628920,ACC00010018,20-Mar-2024 04:55,10404.9,CAD,MER01858,AUTH2146,22-Mar-2024 04:55
PGS167141138091,ACC00010896,11-May-2024 05:57,9328.53,AUD,MER01736,AUTH2508,13-May-2024 05:57
PGS878579399832,ACC00002719,04/06/2024 06:18 AM,7930.66,GBP,MER01213,AUTH8642,04/07/2024 06:18 AM
PGS516506743245,ACC00004128,2024-05-22 19:54:09,6384.64,EUR,MER01053,AUTH4812,2024-05-25 19:54:09
PGS952977330187,ACC00006934,2024-01-07 14:00:15,8589.41,USD,MER01883,AUTH1820,2024-01-08 14:00:15
PGS448574344538,ACC00003315,05/08/2024 04:07 AM,8539.81,EUR,MER01995,AUTH0321,
PGS033062297395,ACC00005463,15-Mar-2024 14:17,2952.42,EUR,MER01199,AUTH5267,16-Mar-2024 14:17
PGS766668574326,ACC00003841,20240424131950,717.19,EUR,MER01815,AUTH9699,20240426131950
PGS177979847817,ACC00006505,07-Apr-2024 19:05,8073.05,AUD,MER01915,,08-Apr-2024 19:05
PGS192525287405,ACC00007638,29/12/2023 18:18:17,631.89,EUR,MER01382,AUTH1774,01/01/2024 18:18:17
PGS345131107838,ACC00005620,20240227230705,11508.19,CAD,MER01742,,20240229230705
PGS494680658122,ACC00004718,01/29/2024 02:42 PM,382.06,CAD,MER01600,AUTH8071,01/30/2024 02:42 PM
PGS750502336632,ACC00004588,20240404161126,1857.94,USD,MER01253,AUTH3625,20240407161126
PGS597856700269,ACC00001458,20240111041130,2532.0,EUR,MER01637,AUTH8040,20240112041130
PGS071690683929,ACC00010623,02/07/2024 08:00 PM,11051.32,CAD,MER01682,AUTH1044,02/10/2024 08:00 PM
PGS113513884830,ACC00002948,30-Apr-2024 08:17,185.08,EUR,MER01752,,01-May-2024 08:17
PGS467584737705,ACC00001390,20240220091247,6038.03,GBP,MER01881,AUTH2088,20240223091247
PGS708054340464,ACC00001359,02/28/2024 10:52 PM,7449.15,CAD,MER01736,AUTH6710,03/02/2024 10:52 PM
PGS650070581232,ACC00007803,20240325232504,4058.93,AUD,MER01925,,20240327232504
PGS347646278862,ACC00003071,17/04/2024 23:30:54,8776.57,CAD,MER01618,AUTH1573,19/04/2024 23:30:54
PGS753863278270,ACC00008809,17-May-2024 12:22,6041.71,USD,MER01615,AUTH7215,18-May-2024 12:22
PGS807070386059,ACC00005093,01/30/2024 08:04 PM,1143.81,GBP,MER01458,AUTH0293,02/01/2024 08:04 PM
PGS840506332023,ACC00002977,20240426153056,4691.6,GBP,MER01817,AUTH9095,20240428153056
PGS956503637792,ACC00006535,23/03/2024 23:27:23,8300.81,CAD,MER01855,AUTH8303,26/03/2024 23:27:23
PGS563867851360,ACC00006267,2024-01-02 04:17:36,2116.74,AUD,MER01959,AUTH8135,2024-01-03 04:17:36
PGS547686009122,ACC00002079,2024-05-17 10:31:41,8227.27,CAD,MER01192,AUTH0067,2024-05-18 10:31:41
PGS693591283815,ACC00006863,18/04/2024 23:58:00,4849.9,EUR,MER01512,AUTH2906,21/04/2024 23:58:00
PGS563205865215,ACC00009374,05/21/2024 03:35 PM,11194.95,CAD,MER01150,AUTH9861,05/23/2024 03:35 PM
PGS567367257896,ACC00004879,16/01/2024 11:04:41,1475.02,AUD,MER01350,AUTH6012,17/01/2024 11:04:41
PGS684349015283,ACC00006897,20240204052526,6253.85,USD,MER01726,AUTH6933,20240206052526
PGS594148052936,ACC00007891,10/04/2024 06:16:22,3344.61,AUD,MER01478,AUTH0753,12/04/2024 06:16:22
PGS284270623960,ACC00004394,01/18/2024 07:57 PM,1795.74,CAD,MER01559,AUTH8483,01/20/2024 07:57 PM
PGS654576417888,ACC00003967,2024-03-04 15:07:05,530.55,AUD,MER01304,,2024-03-07 15:07:05
PGS244476394946,ACC00009532,21/05/2024 20:16:13,6920.9,USD,MER01651,AUTH0392,22/05/2024 20:16:13
